	"gene_id"	"sample97_t3"	"sample98_t4"	"sample99_t5"	"sample100_t6"	"sample101_t8"	"sample102_t24"	"sample103_t48"	"sample104_t168"	"sample105_t336"	"sample16_t3"	"sample17_t4"	"sample18_t5"	"sample19_t6"	"sample20_t8"	"sample21_t24"	"sample22_t48"	"sample23_t168"	"sample24_t336"	"sample25_t3"	"sample26_t4"	"sample27_t5"	"sample28_t6"	"sample29_t8"	"sample30_t24"	"sample31_t48"	"sample32_t168"	"sample33_t336"
"272"	"ECB_00272"	24	74	51	20	2	0	0	18	26	9	5	9	13	2	0	0	5	29	15	20	41	20	14	1	0	37	17
"273"	"ECB_00273"	0	0	0	0	0	0	0	11	5	0	0	0	0	0	0	0	1	2	1	0	2	0	0	0	0	15	19
"274"	"ECB_00274"	28	18	13	4	0	1	0	1	3	2	4	1	0	0	0	0	0	3	5	5	2	4	2	0	0	0	0
"275"	"ECB_00275"	4	5	4	2	0	0	0	3	1	1	1	0	1	0	0	0	1	0	5	3	0	3	1	0	0	0	2
"276"	"ECB_00276"	5	4	6	0	1	1	0	13	5	0	2	0	2	1	0	1	2	2	1	5	2	2	3	0	2	26	10
"277"	"ECB_00277"	3	4	2	0	0	0	0	1	3	1	4	1	0	2	0	0	0	1	1	1	2	1	2	0	0	2	1
"278"	"ECB_00278"	3	5	0	0	0	0	0	0	3	1	2	0	1	0	0	0	0	0	1	1	1	2	1	1	0	4	0
"279"	"ECB_00279"	136	85	45	24	5	0	0	28	33	21	27	2	23	9	3	1	0	4	40	36	46	52	52	8	4	23	19
"280"	"ECB_00280"	67	42	30	26	7	2	0	1	7	17	8	7	25	17	0	1	2	6	22	22	29	40	38	3	0	6	10
"281"	"ECB_00281"	3	2	0	1	0	0	2	4	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	3	0
"282"	"ECB_00282"	2	6	2	5	0	1	0	12	28	1	0	1	2	1	0	1	20	8	1	1	0	2	0	1	1	31	10
"283"	"ECB_00283"	6	9	16	17	52	1	2	74	46	11	3	3	4	47	4	5	72	57	10	8	6	9	39	16	8	137	68
"284"	"ECB_00284"	29	27	19	7	112	11	5	70	36	6	3	5	3	132	17	5	41	27	7	8	14	29	139	75	5	168	60
"285"	"ECB_00285"	7	8	29	15	2	1	2	11	4	21	4	0	2	6	0	0	0	10	11	7	9	1	15	7	0	12	9
"286"	"ECB_00286"	2	0	2	2	0	2	0	3	72	0	0	0	0	0	3	0	15	6	0	1	0	0	2	23	2	11	13
"287"	"ECB_00287"	0	3	0	0	0	0	0	6	31	1	0	0	0	1	3	0	3	6	1	1	0	1	1	3	0	11	7
"288"	"ECB_00288"	3	0	2	1	0	0	0	0	25	0	0	0	2	0	1	1	4	10	1	1	3	3	0	1	0	7	15
"289"	"ECB_00289"	9	12	6	6	0	0	0	4	41	2	3	0	0	0	0	0	12	14	2	5	4	3	4	5	1	26	69
"290"	"ECB_00290"	44	116	50	80	1	0	0	3	5	9	21	3	25	1	0	0	1	0	19	27	35	38	18	0	0	1	2
"291"	"ECB_00291"	238	262	152	169	3	0	1	7	26	67	79	17	81	12	2	0	0	7	98	119	135	118	84	3	0	5	16
"292"	"ECB_00292"	16	25	17	16	0	0	0	2	7	12	2	5	2	1	0	0	1	10	6	8	10	5	5	0	0	11	5
"293"	"ECB_00293"	4	1	1	0	0	0	0	3	1	0	0	0	2	0	0	0	4	1	0	2	0	3	0	0	0	1	1
"294"	"ECB_00294"	6	6	3	1	0	0	1	3	3	1	1	2	0	0	0	0	0	3	2	4	4	1	4	0	0	1	2
"295"	"ECB_00295"	9	12	6	5	0	0	0	0	6	6	2	2	1	0	0	0	3	0	9	4	6	2	2	1	0	4	6
"296"	"ECB_00296"	1	7	3	0	0	1	0	3	7	0	0	0	0	1	0	0	7	0	3	2	5	1	2	3	0	16	71
"297"	"ECB_00297"	0	9	2	0	0	0	0	6	1	0	0	0	0	0	0	0	5	0	1	0	1	1	0	0	0	9	3
"298"	"ECB_00298"	13	9	6	6	1	0	1	4	6	2	2	2	1	4	1	2	2	7	5	2	5	4	5	2	1	16	14
"299"	"ECB_00299"	56	175	89	26	18	0	0	21	30	23	27	5	8	34	0	1	14	33	22	35	33	14	36	4	0	53	34
"300"	"ECB_00300"	34	84	535	204	146	9	11	187	141	97	93	16	28	374	12	17	85	160	179	212	118	73	367	20	20	589	185
"301"	"ECB_00301"	3	5	2	2	1	1	1	0	2	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	1	8	4
"302"	"ECB_00302"	3	11	2	1	2	2	0	0	10	1	1	0	1	0	0	0	3	0	1	2	0	1	1	4	2	5	11
"303"	"ECB_00303"	4	2	1	3	0	0	0	2	0	1	3	0	3	0	0	0	0	2	2	5	6	1	2	0	0	0	0
"304"	"ECB_00304"	4	3	3	1	0	0	0	0	2	3	2	0	0	1	0	0	0	0	0	3	0	0	1	0	0	1	7
"305"	"ECB_00305"	10	9	9	8	1	0	0	0	2	2	2	2	5	1	0	1	1	4	3	5	3	4	5	1	0	2	3
"306"	"ECB_00306"	22	23	12	9	3	0	0	3	8	9	1	4	4	4	0	0	2	4	8	7	17	10	5	9	1	14	23
"307"	"ECB_00307"	6	11	6	5	0	0	0	1	2	3	2	1	3	1	0	0	0	0	1	7	5	4	4	1	1	2	2
"308"	"ECB_00308"	46	119	67	30	4	1	0	5	27	9	26	5	14	14	0	0	3	11	21	43	34	36	28	1	0	33	19
"309"	"ECB_00309"	102	80	22	20	0	0	0	16	29	13	20	1	9	0	0	0	1	11	14	28	16	10	7	0	0	10	16
"310"	"ECB_00310"	120	128	54	43	0	0	0	2	9	44	32	28	28	6	0	0	0	6	14	48	47	26	28	0	1	3	9
"311"	"ECB_00311"	74	77	48	28	0	0	0	0	8	24	12	16	13	1	0	0	0	0	37	112	42	85	37	2	0	13	14
"312"	"ECB_00312"	84	75	63	27	15	4	3	91	64	7	25	2	27	24	14	7	35	28	32	34	43	26	34	31	4	123	70
"313"	"ECB_00313"	13	28	18	20	0	0	0	6	12	1	4	4	8	6	0	0	0	1	25	29	39	32	26	0	0	13	8
"314"	"ECB_00314"	3	2	5	7	0	0	0	1	5	1	1	0	1	1	0	1	0	0	0	1	2	1	1	0	0	2	0
"315"	"ECB_00315"	617	127	304	125	0	0	0	20	42	173	215	68	228	7	0	1	2	16	205	225	173	315	241	3	5	46	43
"316"	"ECB_00316"	295	59	153	46	0	0	0	5	7	78	71	12	35	1	1	0	5	6	71	60	60	52	66	0	0	21	13
"317"	"ECB_00317"	385	70	151	56	2	1	0	6	21	103	106	8	40	1	0	1	0	9	189	146	105	58	84	8	1	13	20
"318"	"ECB_00318"	279	89	96	37	0	1	2	15	23	79	58	5	18	3	2	0	5	7	61	73	52	46	50	9	1	19	11
"319"	"ECB_00319"	1096	760	535	170	8	3	2	51	138	205	231	54	157	20	7	3	9	55	236	388	364	253	198	20	4	69	52
"320"	"ECB_00320"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"321"	"ECB_00321"	44	94	42	15	4	1	1	89	104	17	24	1	21	5	6	6	5	41	23	38	45	35	27	14	3	81	112
"322"	"ECB_00322"	0	4	2	0	0	0	0	9	2	0	1	0	0	0	0	1	6	2	0	0	1	0	0	0	0	10	2
"323"	"ECB_00323"	103	192	105	52	2	0	2	15	25	29	36	8	31	8	2	2	9	21	38	65	77	56	46	7	3	42	74
"324"	"ECB_00324"	161	382	219	133	8	2	2	25	33	26	74	24	59	5	1	2	14	14	76	135	156	117	98	4	1	56	32
"325"	"ECB_00325"	196	384	148	143	5	0	0	21	46	32	70	31	62	15	1	0	15	19	63	139	162	105	82	7	1	61	22
"326"	"ECB_00326"	1	2	4	1	0	0	0	5	1	1	2	0	0	0	0	0	0	1	1	1	0	2	5	0	0	2	2
"327"	"ECB_00327"	90	165	962	449	30	4	3	80	176	174	214	44	119	44	9	5	117	179	322	445	407	219	318	23	13	297	587
"328"	"ECB_00328"	436	471	191	61	2	1	0	26	37	110	108	15	49	0	0	0	14	19	91	194	143	105	97	6	2	79	46
"329"	"ECB_00329"	39	35	22	6	0	0	0	3	7	8	11	3	1	12	3	1	0	9	2	8	6	4	14	4	0	9	12
"330"	"ECB_00330"	24	26	7	5	3	0	0	12	21	4	2	4	5	1	1	0	7	17	4	14	11	9	10	0	0	52	25
"331"	"ECB_00331"	10	5	4	5	29	8	0	38	16	3	3	0	0	49	13	5	7	22	3	1	2	5	20	37	0	57	27
"332"	"ECB_00332"	8	9	6	1	2	3	4	9	11	0	2	0	0	6	29	2	5	6	3	7	6	1	4	176	4	34	14
"333"	"ECB_00333"	223	292	112	64	11	2	2	26	49	64	48	50	33	28	15	5	7	15	41	84	70	64	69	63	3	42	32
"334"	"ECB_00334"	122	212	103	38	2	0	0	15	46	11	20	13	14	2	0	2	4	13	51	56	78	38	33	2	1	10	19
"335"	"ECB_00335"	226	488	260	135	10	1	1	42	212	168	111	55	65	21	0	2	1	50	106	173	202	83	61	0	0	47	82
"336"	"ECB_00336"	272	424	203	132	60	15	3	48	125	82	99	15	60	81	25	3	20	61	71	115	113	74	103	128	4	84	70
